GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj	cluster
GO:2000112	regulation of cellular macromolecule bio...	3161	195	133.98	0.0000019	G10071,G10197,G10474,G10578,G10773,G10774,G1087,G11027,G11354,G11483,G11712,G11834,G12356,G1241,G12436,G1251,G12568,G12683,G12687,G12707,G1282,G12824,G13102,G13295,G1333,G139,G14022,G14438,G14663,G15195,G15222,G15474,G15603,G15840,G15849,G1640,G16424,G16593,G16758,G16805,G16927,G16945,G17102,G1728,G17303,G17659,G17778,G17829,G17994,G18137,G18157,G18644,G18977,G19339,G19375,G1941,G1946,G1948,G1949,G19806,G19959,G2001,G20353,G20472,G20660,G20765,G21064,G21137,G21247,G21249,G21273,G2134,G21349,G21432,G21459,G21463,G21722,G21809,G21813,G21914,G21927,G22071,G22121,G22418,G22448,G22683,G22789,G23019,G23338,G23363,G23388,G23586,G23611,G23612,G23735,G23864,G24,G24071,G24252,G2430,G24304,G24593,G24602,G24863,G25006,G25076,G25183,G25232,G25480,G25521,G25978,G2645,G26542,G26574,G26717,G26982,G27221,G27252,G273,G27537,G27751,G27824,G2797,G28063,G28085,G28100,G28512,G28641,G29167,G29538,G29642,G3007,G30176,G30748,G31062,G31404,G3143,G3155,G31622,G3197,G3211,G32110,G32134,G32233,G32617,G3315,G33256,G3364,G34,G3407,G34580,G34681,G34685,G34722,G34772,G34888,G34989,G35061,G35084,G35175,G35273,G35388,G3783,G3848,G4031,G4036,G4194,G4393,G4434,G4743,G4965,G4966,G5010,G5137,G5226,G532,G5490,G5522,G5580,G5636,G5713,G588,G6107,G6430,G6433,G6754,G6887,G7014,G7323,G746,G8099,G946,G963,G9709,G978	0.000063	2
GO:0010628	positive regulation of gene expression	2102	128	89.1	0.0000028	G10243,G10774,G1087,G11354,G11483,G11712,G12114,G12356,G12436,G12568,G12683,G12687,G12707,G13295,G1333,G139,G14022,G14438,G14663,G14700,G15076,G15474,G15603,G15840,G15849,G16424,G16593,G16725,G16927,G16945,G1728,G17303,G17384,G17778,G17994,G18132,G18157,G19959,G2001,G20200,G20353,G20472,G20484,G20660,G20765,G21064,G21247,G21249,G21273,G21463,G21813,G21914,G22071,G22121,G22448,G22789,G23019,G23388,G23735,G23864,G24,G24071,G24252,G2430,G24304,G24494,G24593,G24602,G26267,G2645,G26542,G26574,G26717,G26982,G27252,G27537,G27824,G2797,G28085,G28100,G28641,G29978,G30176,G3104,G3105,G3197,G3211,G32110,G32134,G32233,G32416,G32776,G3315,G3364,G34,G34772,G35084,G35175,G35273,G35388,G3783,G4031,G4194,G4743,G4930,G4965,G4966,G5010,G5137,G5213,G5226,G532,G5396,G5490,G5522,G5580,G5636,G5696,G5713,G588,G6433,G6754,G6887,G6988,G7014,G746,G8099,G946	0.000063	2
GO:0009253	peptidoglycan catabolic process	10	5	0.42	0.0000285	G12414,G15094,G15095,G7771,G7772	0.000428	2
GO:0033690	positive regulation of osteoblast prolif...	20	6	0.85	0.00013	G15849,G21247,G21249,G26717,G32776,G4743	0.000975	2
GO:0071560	cellular response to transforming growth...	286	17	12.12	0.00016	G12606,G12687,G12824,G16734,G23019,G25232,G26475,G27751,G3170,G32134,G34772,G4730,G4930,G5592,G6988,G963,G9706	0.001013	2
GO:0051497	negative regulation of stress fiber asse...	21	6	0.89	0.00018	G21813,G22854,G23388,G28641,G34,G4696	0.001013	2
GO:0016121	carotene catabolic process	5	4	0.21	0.00029	G17673,G31918,G5321,G5323	0.00145	2
GO:0044319	wound healing, spreading of cells	30	6	1.27	0.00054	G21247,G21249,G22854,G23388,G27751,G4696	0.00162	2
GO:0110135	Norrin signaling pathway	10	4	0.42	0.00055	G15849,G17778,G26717,G4743	0.00162	2
GO:0001702	gastrulation with mouth forming second	33	7	1.4	0.00063	G12568,G13102,G15840,G15849,G26717,G4194,G4743	0.00162	2
GO:0001957	intramembranous ossification	5	3	0.21	0.00071	G15076,G3170,G9706	0.00162	2
GO:0009450	gamma-aminobutyric acid catabolic proces...	5	3	0.21	0.00071	G29173,G29190,G2998	0.00162	2
GO:0005975	carbohydrate metabolic process	853	51	36.16	0.00098	G10937,G13735,G13736,G15069,G15214,G15849,G16229,G1636,G16629,G16727,G16813,G16821,G17833,G18113,G18991,G19666,G20386,G20403,G2134,G21813,G22027,G22615,G22683,G24528,G2513,G25150,G26269,G26496,G2664,G26717,G27158,G28046,G28066,G28100,G29396,G29978,G30176,G30288,G30846,G3104,G3105,G33259,G3364,G34598,G34645,G35221,G3848,G4743,G5696,G588,G6915	0.002005	2
