GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj	cluster
GO:0032543	mitochondrial translation	101	23	2.99	0.00000000000000111779	G10065,G11808,G11963,G14161,G14737,G14867,G16803,G17079,G1811,G22280,G22470,G22959,G23489,G23543,G24630,G27154,G3270,G35526,G4590,G4813,G5479,G638,G6550	0	1
GO:0032981	mitochondrial respiratory chain complex ...	34	15	1.01	0.00000000000001083383	G13193,G1500,G1779,G21283,G23341,G24227,G2740,G27610,G30265,G30295,G31623,G34551,G4771,G5575,ND2	0	1
GO:0009168	purine ribonucleoside monophosphate bios...	53	17	1.57	0.00000000000009778509	G11926,G1500,G17080,G21283,G23341,G23928,G24690,G269,G2740,G27610,G31623,G31998,G3298,G34551,G35260,G5256,G650	0	1
GO:1990542	mitochondrial transmembrane transport	95	25	2.82	0.00000000000077937015	G11218,G13192,G13193,G1500,G17080,G17970,G20890,G21283,G22280,G23341,G23527,G23609,G2409,G25062,G269,G2740,G27610,G3119,G31623,G31998,G32298,G3298,G34551,G35321,G650	0	1
GO:0006839	mitochondrial transport	176	33	5.22	0.00000000000401515764	G11218,G13192,G13193,G1500,G15330,G16563,G17080,G17970,G20890,G21283,G22280,G23341,G23527,G23609,G23884,G2409,G25062,G269,G2740,G27610,G29417,G30835,G3119,G31623,G31998,G32298,G3298,G3343,G34551,G35321,G4770,G5794,G650	0	1
GO:1904851	positive regulation of establishment of ...	8	7	0.24	0.00000000015053967703	G12090,G12217,G14754,G15487,G19460,G22682,G4651	0	1
GO:0006120	mitochondrial electron transport, NADH t...	23	10	0.68	0.00000000038827219075	G13946,G21283,G23341,G26024,G2740,G27610,G31623,G34551,G4771,ND2	0	1
GO:0006457	protein folding	173	32	5.13	0.00000000392251219284	G10994,G11826,G11932,G12090,G12176,G12217,G1339,G13574,G14754,G14830,G16610,G17691,G19460,G2036,G21117,G22682,G23609,G23884,G2451,G24563,G24901,G25203,G25694,G27054,G27275,G29407,G32298,G32299,G3343,G4424,G4651,G5794	0	1
GO:1905907	negative regulation of amyloid fibril fo...	14	5	0.41	0.00003597286795816865	G17691,G2036,G21117,G24563,G24901	0.000101	1
GO:0032212	positive regulation of telomere maintena...	35	7	1.04	0.00006307301314278686	G12090,G12217,G14754,G15487,G19460,G22682,G4651	0.000129	1
GO:0050821	protein stabilization	180	16	5.33	0.00009393570525078688	G10994,G11826,G12090,G12217,G14754,G19460,G21117,G21620,G22682,G2451,G24563,G24901,G25694,G4651,G6676,G6678	0.00018	1
GO:0090666	scaRNA localization to Cajal body	4	3	0.12	0.00010	G12217,G15487,G19460	0.00018	1
GO:0019430	removal of superoxide radicals	17	5	0.5	0.00010	G18858,G2146,G32744,G32745,G32746	0.00018	1
GO:0007339	binding of sperm to zona pellucida	27	6	0.8	0.00011	G12090,G12217,G14754,G19460,G26158,G4651	0.00019	1
GO:0001732	formation of cytoplasmic translation ini...	19	5	0.56	0.00018	G12186,G13720,G24594,G3243,G35174	0.0003	1
GO:0033539	fatty acid beta-oxidation using acyl-CoA...	12	4	0.36	0.00031	G10765,G21141,G23494,G26700	0.000465	1
GO:0120188	regulation of bile acid secretion	7	3	0.21	0.00083	G17206,G32069,G32075	0.001015	1
GO:2000276	negative regulation of oxidative phospho...	2	2	0.06	0.00088	G3343,G5794	0.001015	1
GO:0080058	protein deglutathionylation	2	2	0.06	0.00088	G1339,G26313	0.001015	1
GO:0000413	protein peptidyl-prolyl isomerization	27	5	0.8	0.00105	G11826,G13574,G2434,G3343,G5794	0.001152	1
GO:0098761	cellular response to interleukin-7	8	3	0.24	0.00130	G11932,G1339,G31998	0.00136	1
GO:0006749	glutathione metabolic process	57	7	1.69	0.00171	G10466,G11346,G14450,G18858,G27680,G32447,G6741	0.001749	1
GO:0010887	negative regulation of cholesterol stora...	9	3	0.27	0.00190	G17206,G32069,G32075	0.0019	1
