GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj	cluster
GO:2000112	regulation of cellular macromolecule bio...	3161	177	123.06	0.0000063	G10059,G10071,G10197,G10474,G10578,G10773,G10774,G1087,G11027,G11354,G11483,G11712,G11834,G12217,G1241,G12436,G1251,G12568,G12683,G12687,G12707,G1282,G12824,G1333,G13462,G139,G14022,G14438,G14663,G15195,G15222,G15474,G15840,G15849,G16424,G16593,G16758,G16805,G16927,G16945,G17102,G1728,G17303,G17659,G17778,G17829,G17901,G17994,G18137,G18157,G18644,G18977,G19375,G1941,G1946,G1948,G19806,G2001,G20353,G20472,G20660,G20765,G21064,G21247,G21249,G21273,G2134,G21349,G21432,G21459,G21463,G21722,G21813,G21914,G21927,G22071,G22418,G22448,G22683,G22789,G23205,G23338,G23388,G23611,G23612,G23735,G23864,G24,G24071,G2430,G24304,G24593,G24602,G24863,G25006,G25076,G25183,G25232,G25521,G257,G25978,G2645,G26542,G26574,G26717,G26982,G27221,G27252,G273,G27537,G27751,G2797,G28063,G28085,G28100,G28641,G29538,G29642,G3007,G30176,G30748,G31062,G31404,G3143,G3155,G31622,G3197,G3211,G32110,G32134,G32219,G32233,G32617,G3315,G33256,G3364,G33729,G34,G3407,G34580,G34681,G34685,G34722,G34772,G34888,G34989,G35061,G35084,G35273,G35388,G3783,G3848,G4036,G4194,G4393,G4434,G4965,G4966,G5010,G5137,G5226,G532,G5522,G5636,G588,G6107,G6430,G6433,G6887,G7014,G7323,G746,G8099,G946,G963,G9709,G978	0.000245	2
GO:0010628	positive regulation of gene expression	2102	119	81.83	0.0000109	G10059,G10243,G10774,G1087,G11354,G11483,G11712,G12114,G12436,G12568,G12683,G12687,G12707,G1333,G13462,G139,G14022,G14438,G14663,G14700,G15076,G15474,G15840,G15849,G16424,G16593,G16725,G16927,G16945,G1728,G17303,G17384,G17778,G17901,G17994,G18157,G19035,G2001,G20200,G20353,G20472,G20484,G20660,G20765,G21064,G21247,G21249,G21273,G21463,G21813,G21914,G22071,G22448,G22789,G23205,G23388,G23735,G23864,G24,G24071,G2430,G24304,G24494,G24593,G24602,G26267,G2645,G26542,G26574,G26717,G26982,G27252,G27537,G2797,G28085,G28100,G28641,G29978,G30176,G3104,G3105,G3197,G3211,G32110,G32134,G32219,G32233,G32416,G32776,G3315,G3364,G33729,G34,G34772,G35084,G35273,G35388,G3783,G4194,G4930,G4965,G4966,G5010,G5137,G5213,G5226,G532,G5396,G5522,G5636,G5696,G588,G6433,G6887,G6988,G7014,G746,G8099,G946	0.000245	2
GO:0009253	peptidoglycan catabolic process	10	5	0.39	0.0000189	G12414,G15094,G15095,G7771,G7772	0.000284	2
GO:0051497	negative regulation of stress fiber asse...	21	6	0.82	0.00011	G21813,G22854,G23388,G28641,G34,G4696	0.00099	2
GO:0016121	carotene catabolic process	5	4	0.19	0.00023	G17673,G31918,G5321,G5323	0.001725	2
GO:0044319	wound healing, spreading of cells	30	6	1.17	0.00037	G21247,G21249,G22854,G23388,G27751,G4696	0.00174	2
GO:0001957	intramembranous ossification	5	3	0.19	0.00055	G15076,G3170,G9706	0.00174	2
GO:0009450	gamma-aminobutyric acid catabolic proces...	5	3	0.19	0.00055	G29173,G29190,G2998	0.00174	2
GO:0071560	cellular response to transforming growth...	286	16	11.13	0.00058	G12606,G12687,G12824,G16734,G25232,G26475,G27751,G3170,G32134,G34772,G4730,G4930,G5592,G6988,G963,G9706	0.00174	2
GO:0033690	positive regulation of osteoblast prolif...	20	5	0.78	0.00084	G15849,G21247,G21249,G26717,G32776	0.0022	2
GO:0001953	negative regulation of cell-matrix adhes...	31	6	1.21	0.00087	G12687,G14840,G34,G34772,G35221,G4696	0.0022	2
GO:0010754	negative regulation of cGMP-mediated sig...	12	4	0.47	0.00088	G12442,G12687,G34772,G5548	0.0022	2
GO:0061885	positive regulation of mini excitatory p...	2	2	0.08	0.00151	G23864,G32110	0.002359	2
GO:0001188	RNA polymerase I preinitiation complex a...	2	2	0.08	0.00151	G15715,G24763	0.002359	2
GO:0033135	regulation of peptidyl-serine phosphoryl...	174	7	6.77	0.00152	G15840,G16734,G21813,G257,G270,G32416,G7026	0.002359	2
GO:0001678	intracellular glucose homeostasis	146	11	5.68	0.00165	G12442,G12568,G15069,G15849,G2001,G21349,G2664,G26717,G3364,G34,G3848	0.002475	2
GO:0010763	positive regulation of fibroblast migrat...	24	5	0.93	0.00202	G12687,G27751,G32776,G34772,G7026	0.002841	2
GO:0030198	extracellular matrix organization	593	40	23.09	0.00212	G10071,G11185,G11418,G1241,G12686,G13467,G1366,G14700,G15561,G18157,G18644,G2001,G20954,G21247,G21249,G21316,G21487,G21492,G21557,G23496,G24969,G25005,G26711,G26720,G26721,G26747,G26748,G26808,G27751,G29423,G29978,G32776,G34772,G4064,G4696,G4730,G4787,G5226,G5636,G6988	0.002891	2
GO:0009597	detection of virus	25	5	0.97	0.00245	G16593,G17384,G21064,G34769,G6887	0.003243	2
GO:0031167	rRNA methylation	17	4	0.66	0.00283	G11712,G17901,G27302,G32219	0.003466	2
GO:0003417	growth plate cartilage development	36	5	1.4	0.00285	G10071,G11418,G12687,G23487,G34772	0.003466	2
GO:0071732	cellular response to nitric oxide	16	4	0.62	0.00285	G1087,G12687,G32577,G34772	0.003466	2
GO:0006590	thyroid hormone generation	27	5	1.05	0.00349	G18157,G21456,G3170,G6992,G9706	0.004027	2
GO:0005975	carbohydrate metabolic process	853	49	33.21	0.00382	G10937,G13735,G13736,G15069,G15214,G15849,G16229,G1636,G16629,G16727,G16813,G16821,G17833,G18113,G18991,G19666,G20386,G20403,G2134,G21813,G22027,G22615,G22683,G24491,G24528,G2513,G25150,G26496,G2664,G26717,G27158,G28046,G28066,G28100,G29396,G29978,G30176,G30288,G30846,G3104,G3105,G33259,G3364,G34598,G34645,G35221,G3848,G5696,G588	0.004298	2
GO:1903960	negative regulation of anion transmembra...	9	3	0.35	0.00414	G12687,G34772,G5137	0.00442	2
GO:0002041	intussusceptive angiogenesis	3	2	0.12	0.00442	G21247,G21249	0.00442	2
