GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj	cluster
GO:0032543	mitochondrial translation	101	23	2.98	0.00000000000000099182	G10065,G11808,G11963,G1335,G14161,G14737,G14867,G16803,G17079,G1811,G22280,G22470,G22959,G23543,G24630,G27154,G3270,G35526,G4590,G4813,G5479,G638,G6550	0	1
GO:0042776	proton motive force-driven mitochondrial...	19	13	0.56	0.00000000000000200301	G1500,G17080,G21283,G23341,G23928,G269,G2740,G27610,G31623,G31998,G3298,G34551,G650	0	1
GO:0032981	mitochondrial respiratory chain complex ...	34	15	1	0.00000000000000995738	G13193,G1500,G1779,G21283,G23341,G24227,G2740,G27610,G30265,G30295,G31623,G34551,G4771,G5575,ND2	0	1
GO:1990542	mitochondrial transmembrane transport	95	24	2.8	0.00000000000073217229	G11218,G13193,G1500,G17080,G17970,G20890,G21283,G22280,G23341,G23527,G23609,G2409,G25062,G269,G2740,G27610,G3119,G31623,G31998,G32298,G3298,G34551,G35321,G650	0	1
GO:0006839	mitochondrial transport	176	33	5.19	0.00000000003771294274	G11218,G13193,G13288,G1500,G15330,G16563,G17080,G17970,G20890,G21283,G22280,G23341,G23527,G23609,G23884,G2409,G25062,G269,G2740,G27610,G29417,G30835,G3119,G31623,G31998,G32298,G3298,G3343,G34551,G35321,G4770,G5794,G650	0	1
GO:0006120	mitochondrial electron transport, NADH t...	23	10	0.68	0.00000000036713772299	G13946,G21283,G23341,G26024,G2740,G27610,G31623,G34551,G4771,ND2	0	1
GO:0006457	protein folding	173	32	5.1	0.00000000360445371039	G10994,G11826,G11932,G12090,G12176,G1339,G13574,G14754,G14830,G16610,G17691,G19460,G2036,G21117,G22682,G23609,G23884,G2451,G24563,G24901,G25203,G25694,G27054,G27275,G29407,G32298,G32299,G3343,G4424,G4651,G5794,G6994	0	1
GO:1904851	positive regulation of establishment of ...	8	6	0.24	0.00000001694288506978	G12090,G14754,G15487,G19460,G22682,G4651	0	1
GO:1905907	negative regulation of amyloid fibril fo...	14	5	0.41	0.00003499448560866978	G17691,G2036,G21117,G24563,G24901	0.000098	1
GO:0050821	protein stabilization	180	16	5.3	0.00008786198710437252	G10994,G11826,G12090,G14754,G18704,G19460,G21117,G21620,G22682,G2451,G24563,G24901,G25694,G4651,G6676,G6678	0.000188	1
GO:0019430	removal of superoxide radicals	17	5	0.5	0.00010	G18858,G2146,G32744,G32745,G32746	0.000205	1
GO:0033539	fatty acid beta-oxidation using acyl-CoA...	12	4	0.35	0.00031	G10765,G21141,G23494,G26700	0.000517	1
GO:0000387	spliceosomal snRNP assembly	34	6	1	0.00042	G16114,G18742,G21225,G22119,G22591,G5284	0.000675	1
GO:0032212	positive regulation of telomere maintena...	35	6	1.03	0.00050	G12090,G14754,G15487,G19460,G22682,G4651	0.000776	1
GO:0120188	regulation of bile acid secretion	7	3	0.21	0.00081	G17206,G32069,G32075	0.001087	1
GO:0010849	regulation of proton-transporting ATPase...	2	2	0.06	0.00087	G3343,G5794	0.001087	1
GO:0080058	protein deglutathionylation	2	2	0.06	0.00087	G1339,G26313	0.001087	1
GO:0000413	protein peptidyl-prolyl isomerization	27	5	0.8	0.00103	G11826,G13574,G2434,G3343,G5794	0.00122	1
GO:0098761	cellular response to interleukin-7	8	3	0.24	0.00128	G11932,G1339,G31998	0.00144	1
GO:0010887	negative regulation of cholesterol stora...	9	3	0.27	0.00187	G17206,G32069,G32075	0.002004	1
GO:0043280	positive regulation of cysteine-type end...	109	6	3.21	0.00230	G13193,G16563,G17970,G23884,G35057,G3646	0.002352	1
